"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","ddt0(epsilon)","ddt0(k)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","epsilon","k","nut","p","p_rgh","total(p)"
-0.0010275,-0.16894,0.98563,-0.93407,-1.9407,0.025905,0.0092118,-0.61602,-0.061313,0.5,0.00060594,0.00059973,0.15498,-0.25802,-0.036289,0.00025175,-1.1139e-05,5.4344e-05,0.025531,0.021466,0.0016928,34.243,138.95,125.92
-4.7587e-05,-0.13469,0.99089,-0.93404,-2,0.016228,0.0089949,-0.83855,-0.10653,0.5,0.00016525,0.00015675,0.10034,-0.31116,-0.090211,0.00019058,0.00019801,-4.4357e-05,0.11457,0.031789,0.0013789,-47.233,0,147.26
-0.00046077,-0.1602,0.98709,-0.90426,-1.9722,0.020024,0.0096928,-0.71461,-0.096575,0.5,0.00047566,0.00043699,0.1441,-0.14298,-0.060495,0.00027523,0.00022888,2.9784e-05,0.06778,0.028826,0.0016733,43.007,109.37,168.17
-0.00084756,-0.16927,0.98557,-0.90427,-1.9409,0.025898,0.0099409,-0.6157,-0.061402,0.5,0.00076422,0.00077334,0.17595,-0.16747,-0.026727,0.00030222,4.0777e-05,8.5249e-05,0.024587,0.021284,0.0017319,34.152,138.8,125.77
6.7139e-05,-0.13542,0.99079,-0.90426,-2,0.016221,0.0096181,-0.83798,-0.10688,0.5,-8.0159e-05,0.00018104,0.1221,-0.17855,-0.090356,0.00025207,0.00034815,-3.9806e-05,0.11436,0.0319,0.0014067,-47.194,0,147.16
-0.0002491,-0.16083,0.98698,-0.87447,-1.9724,0.020015,0.01028,-0.71415,-0.096822,0.5,0.00043118,0.00047895,0.16566,-0.10844,-0.059842,0.00034443,0.00024946,4.8307e-05,0.067168,0.02881,0.001701,42.932,109.23,168
-0.00071099,-0.16964,0.98551,-0.87448,-1.9411,0.025892,0.010566,-0.61516,-0.061427,0.5,0.00080347,0.00084352,0.18735,-0.10205,-0.017684,0.00035146,7.6574e-05,0.00011062,0.023886,0.021128,0.0017597,34.076,138.66,125.58
0.00030667,-0.13623,0.99068,-0.87447,-2,0.016207,0.010196,-0.83732,-0.1072,0.5,-0.00023334,0.0002083,0.14954,-0.13264,-0.094165,0.00032326,0.00040474,-3.176e-05,0.1141,0.031939,0.0014251,-47.126,0,147.04
-0.00012168,-0.16154,0.98687,-0.84468,-1.9725,0.020002,0.010817,-0.71354,-0.097067,0.5,0.00038889,0.00045284,0.17274,-0.090259,-0.054966,0.00037283,0.00020875,5.5372e-05,0.066668,0.028728,0.0017136,42.875,109.09,167.79
-0.0006127,-0.17009,0.98543,-0.84469,-1.9413,0.025886,0.011116,-0.61442,-0.061398,0.5,0.00067499,0.00074428,0.18516,-0.068818,-0.011576,0.00036179,7.5461e-05,0.00011071,0.023433,0.020984,0.0017714,34.017,138.54,125.36
